Designator,Mid X,Mid Y,Layer,Rotation
U1,70.000,31.000,Bottom,0.0
J2,57.500,5.400,Top,90.0
ESD1,52.000,9.000,Top,0.0
F1,49.000,14.000,Top,0.0
TVS1,47.500,18.500,Top,0.0
U2,57.000,15.000,Top,0.0
U3,12.000,62.000,Top,0.0
Q1,15.000,56.000,Top,0.0
U4,12.000,53.000,Top,0.0
U20,62.000,62.000,Top,0.0
U5,64.000,43.000,Top,0.0
U6,78.000,46.000,Top,0.0
U7,20.000,40.000,Top,0.0
U8,68.000,62.000,Top,0.0
U9,89.000,63.000,Top,0.0
U10,72.000,54.000,Top,0.0
MOD1,22.000,35.000,Bottom,180.0
U11,29.000,35.000,Top,0.0
U12,20.000,29.000,Top,0.0
U13,34.000,29.000,Top,0.0
U14,44.000,49.000,Top,0.0
U15,55.500,34.500,Top,0.0
U16,61.000,37.000,Top,0.0
J1,29.750,62.000,Top,180.0
U17,53.000,60.000,Top,0.0
U18,52.965,66.264,Bottom,0.0
U19,64.000,61.000,Bottom,0.0
BZ1,85.000,7.000,Top,0.0
Q2,79.000,5.000,Bottom,0.0
D2,79.000,9.000,Bottom,0.0
U21,78.000,18.000,Bottom,0.0
J4,100.000,28.000,Top,0.0
U22,87.000,18.000,Bottom,0.0
J12,101.000,8.500,Top,0.0
ESD2,94.000,21.000,Top,0.0
ESD3,99.000,22.000,Top,0.0
ESD4,95.000,69.800,Top,0.0
J11,40.000,42.600,Bottom,90.0
R1,45.100,2.000,Bottom,0.0
R2,47.450,2.000,Bottom,0.0
R3,24.000,8.000,Bottom,0.0
R4,26.500,44.500,Top,0.0
R5,57.000,47.000,Bottom,0.0
R6,79.500,3.500,Top,0.0
R7,79.700,6.000,Top,0.0
R8,74.000,20.000,Bottom,0.0
R9,40.500,62.500,Bottom,0.0
R10,45.500,34.000,Bottom,0.0
R11,45.500,35.500,Bottom,0.0
R12,45.000,37.000,Bottom,0.0
R13,50.000,47.000,Bottom,0.0
R14,62.000,18.000,Top,0.0
R15,64.000,18.000,Top,0.0
R16,75.000,22.500,Bottom,0.0
R18,37.500,51.000,Bottom,0.0
R20,84.500,43.500,Bottom,0.0
R21,87.000,44.000,Bottom,0.0
R22,68.124,43.384,Bottom,0.0
R23,71.000,42.000,Bottom,0.0
R24,84.000,47.500,Bottom,0.0
R25,16.000,52.000,Top,0.0
R26,18.000,52.000,Top,0.0
R27,20.000,52.000,Top,0.0
R28,49.800,2.000,Bottom,0.0
R29,52.150,2.000,Bottom,0.0
R30,96.000,5.000,Bottom,0.0
R31,98.000,5.000,Bottom,0.0
R32,100.000,5.000,Bottom,0.0
R33,96.000,12.000,Bottom,0.0
R34,98.000,12.000,Bottom,0.0
R35,100.000,12.000,Bottom,0.0
R36,87.000,12.000,Bottom,0.0
R37,82.500,9.500,Bottom,0.0
R38,83.500,10.500,Bottom,0.0
R39,86.000,10.000,Bottom,0.0
R40,52.500,17.500,Bottom,0.0
R41,55.000,18.000,Bottom,0.0
R42,50.500,16.500,Bottom,0.0
R43,53.500,20.500,Bottom,0.0
R44,55.500,19.500,Bottom,0.0
R45,57.500,19.500,Bottom,0.0
R46,58.500,18.500,Bottom,0.0
R47,60.500,18.500,Bottom,0.0
R48,70.000,44.000,Bottom,0.0
R49,71.500,43.000,Bottom,0.0
R50,72.000,43.000,Top,0.0
R51,84.500,48.500,Bottom,0.0
R52,87.000,49.000,Bottom,0.0
R53,45.000,38.000,Bottom,0.0
R54,53.000,3.500,Bottom,0.0
R55,21.000,44.000,Top,0.0
R56,2.000,44.000,Top,0.0
R57,4.000,44.000,Top,0.0
R58,45.000,39.000,Bottom,0.0
R59,6.500,49.500,Bottom,0.0
R60,7.500,20.500,Bottom,0.0
R61,10.500,20.500,Bottom,0.0
R62,9.000,50.000,Bottom,0.0
R63,9.000,52.000,Bottom,0.0
R64,23.500,20.500,Bottom,0.0
R65,30.300,20.500,Bottom,0.0
R66,27.100,20.500,Bottom,0.0
R67,21.500,20.100,Bottom,0.0
R68,32.300,20.100,Bottom,0.0
R69,35.100,20.100,Bottom,0.0
R70,28.500,49.500,Bottom,0.0
R71,53.350,5.500,Bottom,0.0
R72,62.200,5.500,Bottom,0.0
R73,30.500,49.500,Bottom,0.0
R74,32.500,49.500,Bottom,0.0
R75,34.500,49.500,Bottom,0.0
R76,35.000,51.000,Bottom,0.0
R77,45.500,43.000,Bottom,0.0
R78,29.000,50.600,Bottom,0.0
R79,30.000,51.600,Bottom,0.0
R80,33.500,52.100,Bottom,0.0
R81,35.500,52.100,Bottom,0.0
R82,37.500,52.100,Bottom,0.0
R83,41.500,51.100,Bottom,0.0
R84,32.000,50.700,Bottom,0.0
R85,30.500,52.700,Bottom,0.0
R86,46.500,51.500,Bottom,180.0
R87,51.000,52.000,Bottom,180.0
R88,52.000,53.000,Bottom,180.0
R89,49.000,46.000,Bottom,0.0
R90,52.000,47.000,Bottom,0.0
R91,54.000,47.000,Bottom,0.0
R92,50.000,48.600,Bottom,0.0
R93,52.000,48.600,Bottom,0.0
R94,54.000,48.600,Bottom,0.0
R95,61.500,39.500,Bottom,0.0
R96,69.500,40.500,Bottom,0.0
R97,75.500,39.500,Bottom,0.0
R98,75.500,40.500,Bottom,0.0
R99,19.500,18.500,Bottom,0.0
R100,21.800,19.000,Bottom,0.0
R101,79.500,2.500,Bottom,0.0
R103,46.000,30.000,Top,0.0
R104,18.000,18.000,Top,0.0
C1,67.500,22.500,Bottom,0.0
C2,30.400,43.000,Top,0.0
C3,27.000,46.200,Top,0.0
C4,21.500,49.500,Bottom,0.0
C5,18.500,49.500,Bottom,0.0
C6,46.500,27.500,Bottom,0.0
C7,17.000,59.000,Top,0.0
C8,40.000,33.800,Top,0.0
C9,43.293,51.207,Bottom,0.0
C10,45.500,46.500,Bottom,0.0
C11,45.500,44.500,Bottom,0.0
C12,47.000,49.000,Bottom,0.0
C15,36.500,50.000,Bottom,0.0
C16,39.500,51.000,Bottom,0.0
C17,78.000,20.000,Top,0.0
C18,85.000,15.000,Bottom,0.0
C19,57.000,55.000,Bottom,0.0
C20,74.000,18.000,Bottom,0.0
C21,80.000,23.000,Bottom,0.0
C22,13.000,55.000,Bottom,180.0
C23,30.200,45.200,Top,0.0
C24,88.621,20.621,Bottom,0.0
C25,84.172,20.828,Bottom,0.0
C26,89.828,15.172,Bottom,0.0
C27,87.000,22.000,Bottom,0.0
C28,52.000,11.000,Bottom,180.0
C29,60.000,15.000,Bottom,0.0
C30,54.000,15.000,Bottom,0.0
C31,52.000,19.000,Bottom,180.0
C32,58.000,21.000,Bottom,180.0
C33,51.000,15.000,Bottom,0.0
C34,60.535,11.464,Bottom,0.0
C35,64.000,45.000,Bottom,0.0
C36,64.000,47.000,Bottom,0.0
